index,degradation,predicted_iou,model_runtime_sec,e2e_runtime_sec,fps_e2e,input_scale,iou,dice,precision,recall,boundary_f1
1635,dark,0.7946513891220093,0.02791107899997769,0.07609172900004069,13.142032821983388,3.1920199501246884,0.02678375089791876,0.05217018846372756,0.9999999999945266,0.02678375089791876,0.0
1635,bright,0.7537065148353577,0.028027217999976983,0.0780556949999891,12.811365013150413,3.1920199501246884,0.02609473267558587,0.0508622290800436,0.999999999994382,0.02609473267558587,0.0
1300,original,0.9187287092208862,0.027198514999952295,0.0863379029999578,11.582398520849976,3.843843843843844,0.6944072711050666,0.8196462361167569,0.8220945968246325,0.8172124155126949,0.03767609859368062
1300,blur,0.907037615776062,0.02710108499996977,0.09177032299999155,10.896768882464237,3.843843843843844,0.691521816246798,0.8176327489303903,0.8365949119372341,0.799511122776954,0.04362880387202343
1300,lowres,0.8973639011383057,0.027114783999991232,0.09198399199999585,10.871456850883849,3.843843843843844,0.6944354143403352,0.8196658408614382,0.8337773855786255,0.8060240173238392,0.04451938791791963
1300,dark,0.8941227197647095,0.02711197200000015,0.10403763900001195,9.611905937233784,3.843843843843844,0.6998797651883868,0.8234461983972421,0.8355370923888689,0.8117002427979507,0.07567277651071477
1300,bright,0.907999575138092,0.02728146200001902,0.09452294800001937,10.579441512973073,3.843843843843844,0.692908344352329,0.8186011329720524,0.820523808738801,0.8166874466827193,0.04665781592508192
998,original,0.879481315612793,0.027192438000042785,0.09070601000001943,11.024627805806757,3.742690058479532,0.6233311826888126,0.767965513551406,0.6313686062584816,0.9799859550557974,0.0757881273642619
998,blur,0.8016385436058044,0.02694847499998332,0.09250360499999033,10.810389497794215,3.742690058479532,0.6181209045670252,0.7639984167096849,0.6264542867127811,0.978932584269281,0.029513721225164193
998,lowres,0.8102367520332336,0.02712111900001446,0.09083237100003316,11.009290949805052,3.742690058479532,0.6788973435509549,0.8087419354837405,0.6893697756267353,0.9781132958797681,0.05051858612603183
998,dark,0.8903328776359558,0.02695581300002914,0.0915640510000344,10.92131670757582,3.742690058479532,0.636370533343288,0.77778292920383,0.6439923224566491,0.9817415730333248,0.06923522454221882
998,bright,0.8151249885559082,0.02700793200000362,0.09260538600000245,10.798507983109896,3.742690058479532,0.6308048173382368,0.7736116678485441,0.6395360693345299,0.9788155430707791,0.07504843371585969
1470,original,0.6676710247993469,0.02707386800000222,0.09279135999997834,10.776865432301385,3.843843843843844,0.6747356677140325,0.8057816892799898,0.86044143944228,0.7576516831978166,0.04658110318207464
1470,blur,0.7200994491577148,0.026925138999956744,0.09088994100000036,11.002317627205809,3.843843843843844,0.6548346282347177,0.791420021145264,0.8239061761559058,0.7613985081659221,0.03194611302138395
1470,lowres,0.7240250110626221,0.027427840999962427,0.09279343600002221,10.776624329330371,3.843843843843844,0.656229854506079,0.7924381422309041,0.8272012401704201,0.7604790419160803,0.02982079239995012
1470,dark,0.7249791622161865,0.028582861000018056,0.10039554599995881,9.960601240222452,3.843843843843844,0.6725565592447232,0.8042257889902745,0.8540665529890904,0.7598813888536831,0.038315642956892076
1470,bright,0.7156916260719299,0.027001941000037277,0.09485209799998984,10.542729376424623,3.843843843843844,0.6696441390625916,0.8021399571271012,0.8614379947228415,0.7504798464490501,0.052611477888583225
3449,original,0.7116594910621643,0.026991672000008293,0.08602946700000302,11.623924160775806,3.4133333333333336,0.699050842182927,0.8228721881974904,0.8006103537376814,0.8464074606125694,0.0924382562503101
