index,model,model_score,runtime_sec,fps,input_scale,iou,dice,precision,recall,boundary_f1
1475,STT-B,0.9022138118743896,0.06973058699998091,14.340908961518906,3.843843843843844,0.6155803707079136,0.7620547784177139,0.8270424739320575,0.7065362706346334,0.035494377790460926
1475,SAM-ViT-B,1.0126577615737915,0.43547471900001256,2.296344555422909,3.843843843843844,0.7973304908002969,0.8872385962197411,0.7973304908002969,0.9999999999998547,0.0033416825573305674
3347,STT-B,0.8697448372840881,0.0731602110000722,13.668631983565673,3.282051282051282,0.8451987786638764,0.9161059376766895,0.8983359549630106,0.9345931234064401,0.13848049662294057
3347,SAM-ViT-B,0.9354144334793091,0.43737664699995094,2.286358923959907,3.282051282051282,0.5277686547555623,0.6909012737141194,0.9187033702081244,0.553624336801393,0.10436089997753181
2985,STT-B,0.9314091801643372,0.07448761600005582,13.425050413739253,4.0894568690095845,0.8154814115105568,0.898363823876381,0.8499323148325716,0.9526483802315456,0.10146173192420864
2985,SAM-ViT-B,0.9877930283546448,0.4351389340000651,2.2981165826909216,4.0894568690095845,0.8433506389774955,0.9150192276443956,0.8442778610693247,0.9986994561360056,0.02419541212965342
1204,STT-B,0.8564538955688477,0.06554212699995787,15.257362642513002,3.290488431876607,0.7182837556995628,0.8360478917606118,0.8514684928987589,0.8211759073741715,0.08639355803731913
1204,SAM-ViT-B,0.976877748966217,0.43671881499994925,2.2898028792281737,3.290488431876607,0.8220812312454224,0.9023540961272253,0.8232833943860124,0.9982269189169136,0.032151505325893184
2374,STT-B,0.7188657522201538,0.05708098200000222,17.518969803286865,2.56,0.8118932819028382,0.8961822310530267,0.8290009189968898,0.9752123552122297,0.08191219593182031
2374,SAM-ViT-B,0.8932430744171143,0.4287762550000025,2.33221869993709,2.56,0.6427369928718404,0.7825196555027407,0.6455052562032695,0.9933719433718156,0.0918899443024936
1304,STT-B,0.8585624694824219,0.06875821400001314,14.543716915041,3.843843843843844,0.5436613146116887,0.704379010428784,0.6210957377207321,0.8134560456996488,0.046886274334208645
1304,SAM-ViT-B,0.9561318755149841,0.43992623099995853,2.273108374844996,3.843843843843844,0.5501623773439475,0.7098125788429948,0.5501623773439475,0.9999999999998413,0.00908015153353961
567,STT-B,0.9229476451873779,0.07977895299995907,12.534634291333868,3.4133333333333336,0.8140513579858886,0.897495381707072,0.8150358926338892,0.9985183060888068,0.07100844838655698
567,SAM-ViT-B,0.9808976650238037,0.4310426089999737,2.3199562621431262,3.4133333333333336,0.7937326909212057,0.8850066622954496,0.7937326909212057,0.999999999999522,0.008515162657299425
1880,STT-B,0.7883768081665039,0.0718800409999858,13.912067746319144,4.0,0.5472550900755683,0.7073883208861703,0.8668737968995079,0.597467588389871,0.08911785132234536
1880,SAM-ViT-B,0.9403963685035706,0.4316929289999507,2.3164613845229653,4.0,0.7846998779539213,0.8793634018214251,0.792436974789768,0.9877103554218776,0.10198625627229976
3185,STT-B,0.6790180206298828,0.07293979799999306,13.709936515043477,4.063492063492063,0.7233964479670458,0.8395009155558829,0.9126972579001161,0.7771733008942379,0.04149074446373574
3185,SAM-ViT-B,0.9533740282058716,0.43142610699999295,2.317894035096064,4.063492063492063,0.39606513889908146,0.5674020901509125,0.8582344890508992,0.42379085850730736,0.07267176197751854
1818,STT-B,0.9067997336387634,0.06702538700005789,14.919719896568987,3.4133333333333336,0.7644215655451255,0.8664840426714625,0.7646018394777279,0.9996916593858884,0.0613325170578838
1818,SAM-ViT-B,0.9904558062553406,0.4328315200000361,2.3103677846750084,3.4133333333333336,0.76558995947564,0.8672341563417267,0.76558995947564,0.9999999999994861,0.06162398423110997
2756,STT-B,0.928446352481842,0.06683145900001364,14.963013152231136,3.4133333333333336,0.6091365370638844,0.7570973910956581,0.8988890192199844,0.6539436791416977,0.02179403713202889
2756,SAM-ViT-B,0.9991723299026489,0.43608414100003756,2.293135443327011,3.4133333333333336,0.8436956812407208,0.9152222786278407,0.8436956812407208,0.9999999999998781,0.0021662555217723018
1287,STT-B,0.9160662293434143,0.06423668899992663,15.567427517958501,3.4133333333333336,0.768107588856684,0.8688471150710545,0.7681813814965972,0.9998749531071027,0.13142548047157881
1287,SAM-ViT-B,0.9912527799606323,0.43287248399997225,2.3101491477570195,3.4133333333333336,0.7604602510458444,0.8639334521686296,0.7604602510458444,0.9999999999996874,0.08513109843681846
2682,STT-B,0.8641524314880371,0.06933319200004462,14.423106324015148,3.8323353293413174,0.784705776009982,0.8793671052763972,0.8121620357375223,0.9586977648200021,0.05220165779736244
2682,SAM-ViT-B,0.9921128749847412,0.4370419720000882,2.2881097561947623,3.8323353293413174,0.7563002362056255,0.8612425377104814,0.7663274618177994,0.9829931972786945,0.027774782434719033
1452,STT-B,0.7760786414146423,0.06961727400005202,14.36425103343249,3.8323353293413174,0.7698001065348707,0.8699288735405025,0.7709456424076901,0.998073497873215,0.1294868777291843
1452,SAM-ViT-B,0.9538631439208984,0.431480740999973,2.31760054384458,3.8323353293413174,0.6090277162842892,0.7570133318656692,0.6090277162842892,0.9999999999996365,0.0
3570,STT-B,0.8449169993400574,0.07297566800002642,13.703197619234373,3.4133333333333336,0.02102671931892865,0.041187402682183336,0.9999999999756097,0.02102671931892865,0.0
3570,SAM-ViT-B,0.9687103033065796,0.4386325940000688,2.2798123387972464,3.4133333333333336,0.022667829119430397,0.044330775788554065,0.9999999999773755,0.022667829119430397,0.0
1190,STT-B,0.9086460471153259,0.08126895999998851,12.304820930403704,4.555160142348755,0.7326480005776218,0.8456974530699544,0.8172516582966358,0.8761948635261787,0.11579657594396478
1190,SAM-ViT-B,0.9829388856887817,0.45926954499998374,2.177370589639327,4.555160142348755,0.7669909352198172,0.8681322806270106,0.767686826439893,0.9988195324193831,0.09617711004109782
639,STT-B,0.8362274169921875,0.07861596700001883,12.720062325249533,3.843843843843844,0.5430977386696373,0.7039058188729669,0.9956059204438414,0.5444026429767692,0.050750922894354955
